Score,ID,Sutur,Scorer,Time,Session,Sex,Age,PersBase,PersSut,SuturFinal,SutFinalAdjusted,SutFinalLog,Time1,Tim1Sqrt,Time2,Time2Sqrt,TaskName
25,19,6,1,12:10,4,Female,23,0.006194297,0.007715197,0.001520901,0.008155091,-4.809112869,730,27.01851217,121.6666667,11.03026141,Suturing
24,21,5.5,1,20:00,4,Female,22,0.006481278,0.010517984,0.004036705,0.010670896,-4.540235268,1200,34.64101615,218.1818182,14.77097892,Suturing
24,22,6,1,19:55,4,Female,26,0.007428798,0.008524576,0.001095778,0.007729969,-4.862650468,1195,34.56877203,199.1666667,14.11264209,Suturing
23,24,5,1,19:55,4,Female,25,0.006053829,0.008695699,0.00264187,0.00927606,-4.680318357,1195,34.56877203,239,15.45962483,Suturing
25,26,6,1,14:25,4,Female,22,0.005275333,0.005160709,-0.000114624,0.006519566,-5.032947462,865,29.41088234,144.1666667,12.00694244,Suturing
18,1,2.5,2,20:00,4,Male,22,NA,0.007459585,NA,NA,NA,1200,34.64101615,480,21.9089023,Suturing
21,2,4,2,20:00,4,Male,23,0.006479966,0.005783802,-0.000696164,0.005938027,-5.126378359,1200,34.64101615,300,17.32050808,Suturing
25,3,6,2,15:25,4,Male,23,0.006272187,0.008798202,0.002526015,0.009160205,-4.692886678,925,30.41381265,154.1666667,12.41638702,Suturing
24,4,6,2,17:30,4,Male,23,0.007415427,0.007656514,0.000241088,0.006875278,-4.979823194,1050,32.40370349,175,13.22875656,Suturing
28,7,6,2,12:10,4,Male,25,0.009025241,0.008528037,-0.000497204,0.006136986,-5.093421518,730,27.01851217,121.6666667,11.03026141,Suturing
29,8,6,2,11:55,4,Male,22,0.006478232,0.006690486,0.000212254,0.006846445,-4.984025779,715,26.73948391,119.1666667,10.9163486,Suturing
19,10,5.5,2,18:35,4,Male,24,0.007354116,0.008148792,0.000794676,0.007428866,-4.902382011,1115,33.39161571,202.7272727,14.23823278,Suturing
22,11,5.5,2,20:00,4,Male,22,0.007498998,0.008491748,0.000992751,0.007626941,-4.876068429,1200,34.64101615,218.1818182,14.77097892,Suturing
22,12,6,2,19:45,4,Male,23,0.006564055,0.008775202,0.002211148,0.008845338,-4.727864735,1185,34.42382896,197.5,14.05346932,Suturing
18,13,3,2,20:00,4,Male,22,0.005510568,0.005303931,-0.000206637,0.006427554,-5.047161227,1200,34.64101615,400,20,Suturing
24,19,6,2,12:10,4,Female,23,0.006194297,0.007715197,0.001520901,0.008155091,-4.809112869,730,27.01851217,121.6666667,11.03026141,Suturing
23,21,5.5,2,20:00,4,Female,22,0.006481278,0.010517984,0.004036705,0.010670896,-4.540235268,1200,34.64101615,218.1818182,14.77097892,Suturing
24,22,6,2,19:55,4,Female,26,0.007428798,0.008524576,0.001095778,0.007729969,-4.862650468,1195,34.56877203,199.1666667,14.11264209,Suturing
22,24,5,2,19:55,4,Female,25,0.006053829,0.008695699,0.00264187,0.00927606,-4.680318357,1195,34.56877203,239,15.45962483,Suturing
