"Score","ID","Sutur","Scorer","Time","Session","Sex","Age","PersBase","PersSut","SuturFinal","SutFinalAdjusted","SutFinalLog","SuturQuality","SuturQuantity"
22,11,5.5,2,"20:00",4,"Male",22,0.00749899785269886,0.00849174836291172,0.000992750510212864,0.106626941019525,-2.23841906916694,4,3.63636363636364
22,12,6,2,"19:45",4,"Male",23,0.00656405456053953,0.00877520208063505,0.00221114752009552,0.107845338029407,-2.22705713351235,3.66666666666667,3.29166666666667
18,13,3,2,"20:00",4,"Male",22,0.00551056788006227,0.00530393131166996,-0.000206636568392314,0.105427553940919,-2.24973125445044,6,6.66666666666667
24,19,6,2,"12:10",4,"Female",23,0.00619429659033838,0.00771519720591814,0.00152090061557975,0.107155091124892,-2.23347804419325,4,2.02777777777778
23,21,5.5,2,"20:00",4,"Female",22,0.00648127828589817,0.010517983514959,0.00403670522906086,0.109670895738373,-2.21027125466452,4.18181818181818,3.63636363636364
24,22,6,2,"19:55",4,"Female",26,0.00742879830106546,0.00852457647286772,0.00109577817180226,0.106729968681114,-2.23745329149663,4,3.31944444444444
22,24,5,2,"19:55",4,"Female",25,0.00605382904428292,0.00869569885324261,0.00264186980895968,0.108276060318271,-2.22307119910306,4.4,3.98333333333333
20,26,6,2,"14:25",4,"Female",22,0.00527533300960183,0.00516070854722066,-0.00011462446238117,0.105519566046931,-2.24885888310115,3.33333333333333,2.40277777777778
15,1,2.5,1,"20:00",5,"Male",22,0.0295080403529088,NA,NA,NA,NA,6,8
20,2,6,1,"19:10",5,"Male",23,0.00670141755104866,0.00588983752282066,-0.000811580028227996,0.104822610481084,-2.25548578150033,3.33333333333333,3.19444444444444
23,3,6,1,"18:10",5,"Male",23,0.00815710828811524,0.00793928668954455,-0.00021782159857069,0.105416368910741,-2.24983735217465,3.83333333333333,3.02777777777778
22,4,6,1,"16:05",5,"Male",23,0.00735605829624258,0.00792308552065309,0.000567027224410514,0.106201217733722,-2.24241970382081,3.66666666666667,2.68055555555556
23,7,6,1,"17:10",5,"Male",25,0.00623069286945623,0.00707677690405858,0.000846084034602349,0.106480274543914,-2.23979552653728,3.83333333333333,2.86111111111111
27,8,6,1,"18:05",5,"Male",22,0.00758552737935816,0.00662965848355637,-0.000955868895801788,0.10467832161351,-2.25686323494596,4.5,3.01388888888889
15,10,6,1,"14:10",5,"Male",24,NA,NA,NA,NA,NA,2.5,2.36111111111111
23,11,6,1,"19:00",5,"Male",22,0.00632657406470484,0.00736281541366736,0.00103624134896252,0.106670431858274,-2.23801127380814,3.83333333333333,3.16666666666667
24,12,5,1,"20:00",5,"Male",23,0.00679048752825319,0.00790493454659614,0.00111444701834295,0.106748637527655,-2.23727839016183,4.8,4
19,13,3,1,"20:00",5,"Male",22,0.00858393004980662,0.00861348117065938,2.95511208527645e-05,0.105663741630165,-2.24749347588957,6.33333333333333,6.66666666666667
27,19,6,1,"12:55",5,"Female",23,0.00681287972000091,0.00822991896611,0.00141703924610908,0.107051229755421,-2.23444777633918,4.5,2.15277777777778
25,21,6,1,"18:35",5,"Female",22,0.00603164696256646,0.0111431298403954,0.00511148287782898,0.110745673387141,-2.20051893730181,4.16666666666667,3.09722222222222
26,22,6,1,"19:20",5,"Female",26,0.00685682506144382,0.00762481414826469,0.000767989086820872,0.106402179596133,-2.24052921735835,4.33333333333333,3.22222222222222
23,24,6,1,"19:40",5,"Female",25,0.00645222999385738,0.00653159378971369,7.93637958563086e-05,0.105713554305168,-2.24702216059807,3.83333333333333,3.27777777777778
27,26,6,1,"12:35",5,"Female",22,0.00476478667352058,0.00546196496446665,0.000697178290946069,0.106331368800258,-2.24119494026876,4.5,2.09722222222222
17,1,2.5,2,"20:00",5,"Male",22,0.0295080403529088,NA,NA,NA,NA,6.8,8
21,2,6,2,"19:10",5,"Male",23,0.00670141755104866,0.00588983752282066,-0.000811580028227996,0.104822610481084,-2.25548578150033,3.5,3.19444444444444
