"","Score","Sutur","Scorer","Time","Session","Sex","Age","PersBase","PersSut","SuturFinal","SuturQuality","SuturQuantity"
"64",19,5,1,"20:00",3,"Male",23,0.00788506135612793,0.00659515281584119,-0.00128990854028674,3.8,240
"65",27,6,1,"16:20",3,"Male",25,0.00573306913373097,0.0219233125059323,0.0161902433722013,4.5,163.333333333333
"66",22,5,1,"20:00",3,"Male",22,0.00772888995658864,0.00685743157798886,-0.000871458378599777,4.4,240
"67",13,5.5,1,"20:00",3,"Male",24,0.00688370620600058,0.00755862357801948,0.000674917372018897,2.36363636363636,218.181818181818
"68",18,6,1,"19:59",3,"Male",22,0.00900002576055586,0.0106323430203588,0.00163231725980294,3,199.833333333333
"69",18,3.5,1,"20:00",3,"Male",23,0.00628028670635964,0.00862097441816757,0.00234068771180792,5.14285714285714,342.857142857143
"70",19,3.5,1,"20:00",3,"Male",22,0.00506222791795449,0.00467921667987967,-0.000383011238074821,5.42857142857143,342.857142857143
"71",23,6,1,"14:30",3,"Female",23,0.0075260137125517,0.00665643963875876,-0.000869574073792945,3.83333333333333,145
"72",18,4,1,"20:00",3,"Female",22,0.00858469538540137,0.0105415920236716,0.00195689663827024,4.5,300
"73",23,6,1,"19:15",3,"Female",26,0.00697481624541772,0.00809380675385535,0.00111899050843763,3.83333333333333,192.5
"74",24,6,1,"18:10",3,"Female",25,0.00697523970671857,0.00850208739959714,0.00152684769287857,4,181.666666666667
"75",23,6,1,"19:45",3,"Female",22,0.00529856232135774,0.00581115556348258,0.000512593242124844,3.83333333333333,197.5
"76",17,2.5,2,"20:00",3,"Male",22,0.00783281864654515,0.00801878792278548,0.000185969276240337,6.8,480
"77",14,1.5,2,"20:00",3,"Male",23,0.00728423397680454,0.00755664677448097,0.000272412797676434,9.33333333333333,800
"78",23,6,2,"15:05",3,"Male",23,0.00674298404117077,0.00791955660049745,0.00117657255932668,3.83333333333333,150.833333333333
"79",22,5,2,"20:00",3,"Male",23,0.00788506135612793,0.00659515281584119,-0.00128990854028674,4.4,240
"80",24,6,2,"16:20",3,"Male",25,0.00573306913373097,0.0219233125059323,0.0161902433722013,4,163.333333333333
"81",26,5,2,"20:00",3,"Male",22,0.00772888995658864,0.00685743157798886,-0.000871458378599777,5.2,240
"82",18,5.5,2,"20:00",3,"Male",24,0.00688370620600058,0.00755862357801948,0.000674917372018897,3.27272727272727,218.181818181818
"83",23,6,2,"19:59",3,"Male",22,0.00900002576055586,0.0106323430203588,0.00163231725980294,3.83333333333333,199.833333333333
"84",20,3.5,2,"20:00",3,"Male",23,0.00628028670635964,0.00862097441816757,0.00234068771180792,5.71428571428571,342.857142857143
"85",19,3.5,2,"20:00",3,"Male",22,0.00506222791795449,0.00467921667987967,-0.000383011238074821,5.42857142857143,342.857142857143
"86",27,6,2,"14:30",3,"Female",23,0.0075260137125517,0.00665643963875876,-0.000869574073792945,4.5,145
"87",16,4,2,"20:00",3,"Female",22,0.00858469538540137,0.0105415920236716,0.00195689663827024,4,300
"88",26,6,2,"19:15",3,"Female",26,0.00697481624541772,0.00809380675385535,0.00111899050843763,4.33333333333333,192.5
"89",22,6,2,"18:10",3,"Female",25,0.00697523970671857,0.00850208739959714,0.00152684769287857,3.66666666666667,181.666666666667
"90",25,6,2,"19:45",3,"Female",22,0.00529856232135774,0.00581115556348258,0.000512593242124844,4.16666666666667,197.5
"91",17,2.5,1,"20:00",4,"Male",22,NA,0.00745958510933227,NA,6.8,480
"92",19,4,1,"20:00",4,"Male",23,0.00647996583216498,0.00578380230353384,-0.00069616352863114,4.75,300
"93",24,6,1,"15:25",4,"Male",23,0.00627218743652554,0.00879820231589308,0.00252601487936754,4,154.166666666667
"94",22,6,1,"17:30",4,"Male",23,0.00741542667031174,0.00765651420048086,0.000241087530169115,3.66666666666667,175
"95",29,6,1,"12:10",4,"Male",25,0.00902524107173353,0.00852803667736436,-0.000497204394369169,4.83333333333333,121.666666666667
"96",28,6,1,"11:55",4,"Male",22,0.00647823185217462,0.00669048607388354,0.000212254221708915,4.66666666666667,119.166666666667
"97",14,5.5,1,"18:35",4,"Male",24,0.00735411583474922,0.00814879166088465,0.000794675826135427,2.54545454545455,202.727272727273
"98",20,5.5,1,"20:00",4,"Male",22,0.00749899785269886,0.00849174836291172,0.000992750510212864,3.63636363636364,218.181818181818
"99",20,6,1,"19:45",4,"Male",23,0.00656405456053953,0.00877520208063505,0.00221114752009552,3.33333333333333,197.5
"100",17,3,1,"20:00",4,"Male",22,0.00551056788006227,0.00530393131166996,-0.000206636568392314,5.66666666666667,400
"101",25,6,1,"12:10",4,"Female",23,0.00619429659033838,0.00771519720591814,0.00152090061557975,4.16666666666667,121.666666666667
"102",24,5.5,1,"20:00",4,"Female",22,0.00648127828589817,0.010517983514959,0.00403670522906086,4.36363636363636,218.181818181818
"103",24,6,1,"19:55",4,"Female",26,0.00742879830106546,0.00852457647286772,0.00109577817180226,4,199.166666666667
"104",23,5,1,"19:55",4,"Female",25,0.00605382904428292,0.00869569885324261,0.00264186980895968,4.6,239
"105",25,6,1,"14:25",4,"Female",22,0.00527533300960183,0.00516070854722066,-0.00011462446238117,4.16666666666667,144.166666666667
"106",18,2.5,2,"20:00",4,"Male",22,NA,0.00745958510933227,NA,7.2,480
"107",21,4,2,"20:00",4,"Male",23,0.00647996583216498,0.00578380230353384,-0.00069616352863114,5.25,300
"108",25,6,2,"15:25",4,"Male",23,0.00627218743652554,0.00879820231589308,0.00252601487936754,4.16666666666667,154.166666666667
"109",24,6,2,"17:30",4,"Male",23,0.00741542667031174,0.00765651420048086,0.000241087530169115,4,175
