,Score,Scorer,Time,Session,Sex,Age,PersBase,PersCut,CutFinal,CutFinalAdjusted,CutFinalLog,,,,,,
137,22,2,4:25,5,Male,23,0.006701418,0.006128214,-0.000573203,0.116787874,-2.147396031,,,,-0.000573203,0.116787877,-2.147396008
138,24,2,3:15,5,Male,23,0.008157108,0.008691801,0.000534693,0.11789577,-2.137954346,,,,0.000534693,0.117895773,-2.137954324
139,19,2,1:55,5,Male,23,0.007356058,0.007997844,0.000641786,0.118002863,-2.137046388,,,,0.000641786,0.118002866,-2.137046366
140,23,2,3:00,5,Male,25,0.006230693,0.006462659,0.000231966,0.117593044,-2.140525398,,,,0.000231966,0.117593046,-2.140525375
141,25,2,4:30,5,Male,22,0.007585527,0.007372626,-0.000212902,0.117148176,-2.144315687,,,,-0.000212902,0.117148178,-2.144315664
142,21,2,2:15,5,Male,24,NA,NA,NA,NA,NA,,,,#VALUE!,#VALUE!,#VALUE!
143,16,2,1:20,5,Male,22,0.006326574,0.007499978,0.001173404,0.118534481,-2.132551381,,,,0.001173404,0.118534484,-2.132551359
144,24,2,2:30,5,Male,23,0.006790488,0.009830742,0.003040255,0.120401332,-2.116924681,,,,0.003040255,0.120401335,-2.116924659
145,25,2,1:45,5,Male,22,0.00858393,0.007661869,-0.000922061,0.116439016,-2.150387607,,,,-0.000922061,0.116439019,-2.150387584
146,28,2,2:20,5,Female,23,0.00681288,0.008316978,0.001504098,0.118865176,-2.129765405,,,,0.001504098,0.118865178,-2.129765382
147,26,2,1:40,5,Female,22,0.006031647,0.008990092,0.002958445,0.120319522,-2.117604388,,,,0.002958445,0.120319525,-2.117604366
148,24,2,3:30,5,Female,26,0.006856825,0.006851448,-5.38E-06,0.1173557,-2.142545787,,,,-5.37751E-06,0.117355702,-2.142545764
149,24,2,8:15,5,Female,25,0.00645223,0.007302603,0.000850373,0.11821145,-2.135280307,,,,0.000850373,0.118211453,-2.135280285
150,25,2,2:10,5,Female,22,0.004764787,0.005545815,0.000781028,0.118142105,-2.135867097,,,,0.000781028,0.118142108,-2.135867074
