"","Score","Scorer","Time","Session","Sex","Age","PersBase","PersCut","PersSut"
"132",25,1,0.0694444444444444,5,"Female",22,0.00603164696256646,0.00899009200420393,0.0111431298403954
"133",26,1,0.145833333333333,5,"Female",26,0.00685682506144382,0.00685144754978125,0.00762481414826469
"134",22,1,0.34375,5,"Female",25,0.00645222999385738,0.00730260284507166,0.00653159378971369
"135",26,1,0.0902777777777778,5,"Female",22,0.00476478667352058,0.00554581463081119,0.00546196496446665
"136",23,2,0.170138888888889,5,"Male",22,0.0295080403529088,0.0121469629953239,NA
"137",22,2,0.184027777777778,5,"Male",23,0.00670141755104866,0.00612821440956371,0.00588983752282066
"138",24,2,0.135416666666667,5,"Male",23,0.00815710828811524,0.00869180138462632,0.00793928668954455
"139",19,2,0.0798611111111111,5,"Male",23,0.00735605829624258,0.00799784440085249,0.00792308552065309
"140",23,2,0.125,5,"Male",25,0.00623069286945623,0.0064626592063452,0.00707677690405858
"141",25,2,0.1875,5,"Male",22,0.00758552737935816,0.00737262567464508,0.00662965848355637
"142",21,2,0.09375,5,"Male",24,NA,NA,NA
"143",16,2,0.0555555555555556,5,"Male",22,0.00632657406470484,0.00749997779724439,0.00736281541366736
"144",24,2,0.104166666666667,5,"Male",23,0.00679048752825319,0.00983074236657974,0.00790493454659614
"145",25,2,0.0729166666666667,5,"Male",22,0.00858393004980662,0.00766186912930206,0.00861348117065938
"146",28,2,0.0972222222222222,5,"Female",23,0.00681287972000091,0.00831697816134515,0.00822991896611
"147",26,2,0.0694444444444444,5,"Female",22,0.00603164696256646,0.00899009200420393,0.0111431298403954
"148",24,2,0.145833333333333,5,"Female",26,0.00685682506144382,0.00685144754978125,0.00762481414826469
"149",24,2,0.34375,5,"Female",25,0.00645222999385738,0.00730260284507166,0.00653159378971369
"150",25,2,0.0902777777777778,5,"Female",22,0.00476478667352058,0.00554581463081119,0.00546196496446665
